[2025-09-06 00:24:35,502] 20 root - INFO - Initiate the data ingestion
[2025-09-06 00:24:44,869] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 00:24:44,870] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 00:24:44,871] 77 root - INFO - Exporting train and test file path.
[2025-09-06 00:24:45,026] 86 root - INFO - Exported train and test file path.
[2025-09-06 00:24:45,028] 22 root - INFO - Data Initiation Completed
[2025-09-06 00:24:45,056] 26 root - INFO - Initiate the data Validation
[2025-09-06 00:24:45,229] 32 root - INFO - Required number of columns:2
[2025-09-06 00:24:45,232] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:24:45,234] 32 root - INFO - Required number of columns:2
[2025-09-06 00:24:45,234] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:24:45,655] 28 root - INFO - data Validation Completed
